,number,name,type1,type2,h,a,b,c,d,s,abi1,abi2,abi3,weight,single,double,generation
1,1,フシギダネ,くさ,どく,45,49,49,65,65,45,しんりょく,,ようりょくそ,6.9,0,0,1
2,2,フシギソウ,くさ,どく,60,62,63,80,80,60,しんりょく,,ようりょくそ,13,0,0,1
3,3,フシギバナ,くさ,どく,80,82,83,100,100,80,しんりょく,,ようりょくそ,100,0,0,1
4,4,ヒトカゲ,ほのお,,39,52,43,60,50,65,もうか,,サンパワー,8.5,0,0,1
5,5,リザード,ほのお,,58,64,58,80,65,80,もうか,,サンパワー,19,0,0,1
6,6,リザードン,ほのお,ひこう,78,84,78,109,85,100,もうか,,サンパワー,90.5,2,3,1
7,7,ゼニガメ,みず,,44,48,65,50,64,43,げきりゅう,,あめうけざら,9,0,0,1
8,8,カメール,みず,,59,63,80,65,80,58,げきりゅう,,あめうけざら,22.5,0,0,1
9,9,カメックス,みず,,79,83,100,85,105,78,げきりゅう,,あめうけざら,85.5,0,0,1
10,23,アーボ,どく,,35,60,44,40,54,55,いかく,だっぴ,きんちょうかん,6.9,0,0,1
11,24,アーボック,どく,,60,95,69,65,79,80,いかく,だっぴ,きんちょうかん,65,1,1,1
12,25,ピカチュウ,でんき,,35,55,40,50,50,90,せいでんき,,ひらいしん,6,0,0,1
13,26_1,ライチュウ,でんき,,60,90,55,90,80,110,せいでんき,,ひらいしん,30,2,2,1
14,26_2,ライチュウ(アローラ),でんき,エスパー,60,85,50,95,85,110,サーフテール,,,21,2,2,7
15,27_1,サンド(通常),じめん,,50,75,85,20,30,40,すながくれ,,すなかき,12,0,0,1
16,27_2,サンド(アローラ),こおり,はがね,50,75,90,10,35,40,ゆきがくれ,,ゆきかき,40,0,0,7
17,28_1,サンドパン(通常),じめん,,75,100,110,45,55,65,すながくれ,,すなかき,29.5,1,1,1
18,28_2,サンドパン(アローラ),こおり,はがね,75,100,120,25,65,65,ゆきがくれ,,ゆきかき,55,1,1,7
19,35,ピッピ,フェアリー,,70,45,48,60,65,35,メロメロボディ,マジックガード,フレンドガード,7.5,2,4,1
20,36,ピクシー,フェアリー,,95,70,73,95,90,60,メロメロボディ,マジックガード,フレンドガード,40,3,2,1
21,37_1,ロコン(通常),ほのお,,38,41,40,50,65,65,もらいび,,ひでり,9.9,0,0,1
22,37_2,ロコン(アローラ),こおり,,38,41,40,50,65,65,ゆきがくれ,,ゆきふらし,9.9,0,0,7
23,38_1,キュウコン(通常),ほのお,,73,76,75,81,100,100,もらいび,,ひでり,19.9,3,3,1
24,38_2,キュウコン(アローラ),こおり,,73,67,75,81,100,109,ゆきがくれ,,ゆきふらし,19.9,4,4,7
25,39,プリン,ノーマル,フェアリー,115,45,20,45,25,20,メロメロボディ,かちき,フレンドガード,5.5,0,0,1
26,40,プクリン,ノーマル,フェアリー,140,70,45,85,50,45,メロメロボディ,かちき,おみとおし,12,1,1,1
27,43,ナゾノクサ,くさ,どく,45,50,55,75,65,30,ようりょくそ,,にげあし,5.4,0,0,1
